id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
1,2017-12-17,H171,35426,36140,2,18,35711,35754,0.12,,2017-12-29 16:21:43.491278
60,2016-10-18,K167,34818,36467,4.63,53,35670,35694,0.07,,2017-12-29 16:21:43.791094
15,2016-07-17,K147,35155,35981,2.32,61,35559,35571,0.03,,2017-12-29 16:21:43.821606
53,2016-10-18,K147,35161,35977,2.29,41,35558,35571,0.04,,2017-12-29 16:21:43.824554
58,2016-10-18,K147,35161,35977,2.29,41,35558,35571,0.04,,2017-12-29 16:21:43.827481
25,2017-12-17,K172,34973,35887,2.58,30,35527,35545,0.05,,2017-12-29 16:21:43.854998
56,2016-10-18,K150,35090,36470,3.86,26,35707,35724,0.05,,2017-12-29 16:21:43.892627
14,2016-07-17,K173,35003,36347,3.77,53,35705,35733,0.08,,2017-12-29 16:21:43.919738
52,2016-10-18,K173,35003,36343,3.76,53,35707,35735,0.08,,2017-12-29 16:21:43.922092
57,2016-10-18,K173,35003,36343,3.76,53,35707,35735,0.08,,2017-12-29 16:21:43.924342
22,2017-12-17,K208,35386,35911,1.47,52,35698,35706,0.02,,2017-12-29 16:21:43.950074
54,2016-10-18,K149,35043,36400,3.8,27,35713,35735,0.06,,2017-12-29 16:21:44.044268
11,2017-12-17,K218,35454,36010,1.56,12,35687,35690,0.01,,2017-12-29 16:26:16.460798
116,2017-12-20,K211,35323,36037,2,43,35702,35740,0.11,,2017-12-29 16:02:58.043927
73,2017-12-19,K212,35218,36220,2.81,61,35687,35727,0.11,,2017-12-29 16:02:58.05468
117,2017-12-20,K212,35219,36219,2.8,61,35685,35727,0.12,,2017-12-29 16:02:58.057598
118,2017-12-20,K220,35197,36259,2.97,11,35709,35725,0.04,,2017-12-29 16:02:58.072183
75,2017-12-19,K221,35397,36056,1.84,6,35733,35738,0.01,,2017-12-29 16:02:58.086019
119,2017-12-20,K221,35416,36060,1.8,5,35716,35738,0.06,,2017-12-29 16:02:58.088755
112,2017-12-20,K169,34913,36189,3.59,33,35561,35573,0.03,,2017-12-29 16:21:42.60443
110,2017-12-20,K120,35038,35954,2.58,29,35527,35542,0.04,,2017-12-29 16:21:42.635619
111,2017-12-20,K141,35380,36053,1.88,32,35673,35707,0.1,,2017-12-29 16:21:42.664632
143,2017-12-21,K141,35381,36049,1.87,34,35673,35707,0.1,,2017-12-29 16:21:42.667333
83,2017-12-19,H150,35465,36080,1.72,32,35738,35775,0.1,,2017-12-29 16:21:42.997596
85,2017-12-19,H148,35423,36038,1.72,27,35749,35766,0.05,,2017-12-29 16:21:43.008411
82,2017-12-19,H131,35371,35985,1.72,29,35689,35735,0.13,,2017-12-29 16:21:43.019221
78,2017-12-19,H134,35511,36180,1.87,61,35731,35766,0.1,,2017-12-29 16:21:43.042271
81,2017-12-19,H133,34818,36613,5.03,77,35717,35734,0.05,,2017-12-29 16:21:43.051014
79,2017-12-19,H135,34461,36941,6.95,56,35711,35743,0.09,,2017-12-29 16:21:43.062156
76,2017-12-19,H138,35378,36063,1.92,88,35748,35766,0.05,,2017-12-29 16:21:43.070918
77,2017-12-19,H139,35207,36296,3.05,98,35739,35764,0.07,,2017-12-29 16:21:43.079451
84,2017-12-19,H149,34225,36755,7.13,34,35746,35779,0.09,,2017-12-29 16:21:43.112604
139,2017-12-20,K115,35235,35817,1.64,44,35539,35556,0.05,,2017-12-29 16:21:43.227276
132,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.267416
137,2017-12-20,K121,35362,36045,1.91,28,35716,35733,0.05,,2017-12-29 16:21:43.269609
133,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.308375
138,2017-12-20,K168,35160,35971,2.28,41,35539,35567,0.08,,2017-12-29 16:21:43.310586
140,2017-12-20,K114,35188,36044,2.4,26,35715,35736,0.06,,2017-12-29 16:21:43.351317
136,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.390483
141,2017-12-20,K171,35228,36125,2.51,38,35713,35737,0.07,,2017-12-29 16:21:43.392974
100,2017-12-19,H171,35428,36097,1.87,22,35710,35754,0.12,,2017-12-29 16:21:43.493927
126,2017-12-20,H171,35426,36084,1.84,22,35717,35749,0.09,,2017-12-29 16:21:43.496534
131,2017-12-20,H173,35479,36025,1.53,13,35732,35740,0.02,,2017-12-29 16:21:43.509941
101,2017-12-19,H175,34014,37053,8.55,54,35735,35776,0.11,,2017-12-29 16:21:43.521266
127,2017-12-20,H175,34018,37055,8.55,56,35738,35777,0.11,,2017-12-29 16:21:43.523465
103,2017-12-19,H177,35269,36238,2.71,32,35756,35768,0.03,,2017-12-29 16:21:43.535014
129,2017-12-20,H177,35278,36246,2.71,31,35748,35773,0.07,,2017-12-29 16:21:43.537581
128,2017-12-20,H176,35455,36000,1.53,29,35740,35763,0.06,,2017-12-29 16:21:43.551008
104,2017-12-19,H174,35400,36139,2.07,39,35725,35747,0.06,,2017-12-29 16:21:43.562315
130,2017-12-20,H174,35403,36142,2.07,39,35723,35748,0.07,,2017-12-29 16:21:43.564606
86,2017-12-19,K218,35454,35995,1.51,11,35685,35689,0.01,,2017-12-29 16:26:16.463652
120,2017-12-20,K218,35428,35949,1.46,11,35688,35690,0.01,,2017-12-29 16:26:16.466608
121,2017-12-20,K219,35453,35929,1.33,11,35685,35689,0.01,,2017-12-29 16:26:16.481336
69,2017-12-19,H161,35157,36376,3.41,15,35734,35756,0.06,,2017-12-29 16:26:16.875925
113,2017-12-20,H161,35147,36388,3.47,12,35735,35754,0.05,,2017-12-29 16:26:16.878766
70,2017-12-19,H162,35358,36078,2.02,41,35741,35773,0.09,,2017-12-29 16:26:16.904652
114,2017-12-20,H162,35360,36080,2.02,26,35739,35775,0.1,,2017-12-29 16:26:16.907571
71,2017-12-19,H163,35354,36291,2.62,59,35695,35774,0.22,,2017-12-29 16:26:16.94093
90,2017-12-17,K239,35264,36246,2.75,21,35720,35727,0.02,,2017-12-29 16:26:17.065209
94,2017-12-18,K239,35267,36245,2.74,21,35720,35728,0.02,,2017-12-29 16:26:17.068337
98,2017-12-19,K239,35196,36281,3.04,20,35723,35728,0.01,,2017-12-29 16:26:17.071235
108,2017-12-20,K239,35197,36279,3.03,21,35722,35726,0.01,,2017-12-29 16:26:17.07395
124,2017-12-21,K239,35193,36282,3.05,20,35720,35729,0.03,,2017-12-29 16:26:17.076968
93,2017-12-18,K238,34798,36714,5.36,6,35715,35717,0.01,,2017-12-29 16:26:17.10192
97,2017-12-19,K238,34736,36778,5.71,6,35714,35716,0.01,,2017-12-29 16:26:17.104761
107,2017-12-20,K238,34736,36778,5.71,6,35712,35714,0.01,,2017-12-29 16:26:17.107524
123,2017-12-21,K238,35153,36233,3.03,6,35707,35722,0.04,,2017-12-29 16:26:17.110214
91,2017-12-17,K250,35357,36015,1.84,17,35702,35708,0.02,,2017-12-29 16:26:17.131679
99,2017-12-19,K250,35362,36007,1.81,17,35701,35707,0.02,,2017-12-29 16:26:17.136405
109,2017-12-20,K250,35375,36018,1.8,17,35699,35707,0.02,,2017-12-29 16:26:17.138677
125,2017-12-21,K250,35375,36019,1.8,17,35696,35710,0.04,,2017-12-29 16:26:17.140968
88,2017-12-17,K237,35462,36079,1.72,11,35713,35720,0.02,,2017-12-29 16:26:17.163345
92,2017-12-18,K237,35466,36018,1.54,12,35711,35718,0.02,,2017-12-29 16:26:17.166393
106,2017-12-20,K237,35467,36018,1.54,11,35705,35722,0.05,,2017-12-29 16:26:17.172088
122,2017-12-21,K237,35466,36018,1.54,11,35711,35720,0.03,,2017-12-29 16:26:17.174931
161,2017-12-19,H150,35465,36080,1.72,32,35738,35775,0.1,,2017-12-29 16:21:42.999928
163,2017-12-19,H148,35423,36038,1.72,27,35749,35766,0.05,,2017-12-29 16:21:43.010584
160,2017-12-19,H131,35371,35985,1.72,29,35689,35735,0.13,,2017-12-29 16:21:43.021581
159,2017-12-19,H133,34818,36613,5.03,77,35717,35734,0.05,,2017-12-29 16:21:43.053327
162,2017-12-19,H149,34225,36755,7.13,34,35746,35779,0.09,,2017-12-29 16:21:43.114987
190,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.229606
195,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.231781
204,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.233985
214,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.2389
188,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.272104
193,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.274322
202,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.276879
207,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.279072
217,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.283563
189,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.312914
194,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.315221
203,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.317567
208,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.319747
213,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.321934
191,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.353584
196,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.35591
205,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.358108
210,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.360309
215,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.362493
197,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.397952
206,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.400159
211,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.402595
216,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.405254
152,2017-12-18,H128,35232,36208,2.73,119,35718,35747,0.08,,2017-12-29 16:21:43.641412
166,2017-12-18,H128,35232,36208,2.73,119,35718,35747,0.08,,2017-12-29 16:21:43.646538
174,2017-12-20,H128,35296,36134,2.35,121,35719,35745,0.07,,2017-12-29 16:21:43.648947
178,2017-12-18,H128,35232,36208,2.73,119,35718,35747,0.08,,2017-12-29 16:21:43.651152
186,2017-12-18,H128,35232,36208,2.73,119,35718,35747,0.08,,2017-12-29 16:21:43.653362
200,2017-12-18,H128,35232,36208,2.73,119,35718,35747,0.08,,2017-12-29 16:21:43.655933
154,2017-12-18,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.681706
164,2017-12-18,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.684073
176,2017-12-18,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.686435
184,2017-12-18,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.688634
198,2017-12-18,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.690875
155,2017-12-18,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.715361
165,2017-12-18,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.717699
173,2017-12-20,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.719897
177,2017-12-18,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.722214
185,2017-12-18,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.724519
199,2017-12-18,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.726946
157,2017-12-18,H127,35309,36025,2.01,149,35722,35747,0.07,,2017-12-29 16:21:43.7522
167,2017-12-18,H127,35309,36025,2.01,149,35722,35747,0.07,,2017-12-29 16:21:43.754404
175,2017-12-20,H127,35317,36037,2.02,150,35721,35747,0.07,,2017-12-29 16:21:43.756889
179,2017-12-18,H127,35309,36025,2.01,149,35722,35747,0.07,,2017-12-29 16:21:43.759318
187,2017-12-18,H127,35309,36025,2.01,149,35722,35747,0.07,,2017-12-29 16:21:43.761571
172,2017-12-20,K167,34819,36473,4.64,53,35671,35693,0.06,,2017-12-29 16:21:43.793869
170,2017-12-20,K147,35321,35797,1.34,44,35559,35570,0.03,,2017-12-29 16:21:43.830288
183,2017-12-20,K172,34963,35894,2.63,31,35527,35545,0.05,,2017-12-29 16:21:43.857596
168,2017-12-20,K150,35107,36450,3.75,29,35709,35722,0.04,,2017-12-29 16:21:43.895268
169,2017-12-20,K173,35002,36341,3.75,42,35699,35740,0.11,,2017-12-29 16:21:43.926703
181,2017-12-20,K210,35302,36139,2.34,43,35710,35721,0.03,,2017-12-29 16:21:43.981423
182,2017-12-20,K209,35045,36029,2.77,38,35517,35529,0.03,,2017-12-29 16:21:44.014672
171,2017-12-20,K149,35247,36071,2.31,22,35711,35736,0.07,,2017-12-29 16:21:44.049958
148,2017-12-21,K218,35432,35953,1.46,10,35687,35690,0.01,,2017-12-29 16:26:16.469484
149,2017-12-21,K219,35452,35935,1.35,10,35684,35688,0.01,,2017-12-29 16:26:16.484062
146,2017-12-21,H162,35357,36080,2.02,32,35740,35774,0.1,,2017-12-29 16:26:16.917906
147,2017-12-21,H163,35306,36263,2.67,59,35705,35776,0.2,,2017-12-29 16:26:16.946661
266,2017-12-23,K169,34903,36260,3.81,59,35562,35573,0.03,,2017-12-29 16:21:42.612002
256,2017-12-22,K120,35042,35950,2.56,28,35527,35542,0.04,,2017-12-29 16:21:42.640581
264,2017-12-23,K120,-1,-1,-0,-1,-1,-1,-0,,2017-12-29 16:21:42.643101
265,2017-12-23,K141,35383,36052,1.87,41,35673,35708,0.1,,2017-12-29 16:21:42.671903
247,2017-12-22,H150,34971,36377,3.94,35,35741,35770,0.08,,2017-12-29 16:21:43.002103
249,2017-12-22,H148,35420,36033,1.72,21,35748,35767,0.05,,2017-12-29 16:21:43.012911
246,2017-12-22,H131,35371,35975,1.69,32,35698,35731,0.09,,2017-12-29 16:21:43.023966
244,2017-12-22,H132,34931,36508,4.41,43,35715,35736,0.06,,2017-12-29 16:21:43.035583
245,2017-12-22,H133,34814,36614,5.04,91,35718,35735,0.05,,2017-12-29 16:21:43.055672
234,2017-12-21,H135,34249,37173,8.19,26,35715,35740,0.07,,2017-12-29 16:21:43.064497
231,2017-12-21,H138,35359,36066,1.98,61,35742,35772,0.08,,2017-12-29 16:21:43.073114
232,2017-12-21,H139,35206,36300,3.06,83,35736,35767,0.09,,2017-12-29 16:21:43.08162
229,2017-12-20,H169,35203,36340,3.18,40,35693,35779,0.24,,2017-12-29 16:21:43.085599
228,2017-12-20,H170,35432,36009,1.62,36,35691,35767,0.21,,2017-12-29 16:21:43.091884
241,2017-12-22,H170,35437,35967,1.48,24,35694,35768,0.21,,2017-12-29 16:21:43.094217
227,2017-12-20,H172,35432,36212,2.18,30,35726,35766,0.11,,2017-12-29 16:21:43.097992
240,2017-12-22,H172,35403,36187,2.19,32,35707,35768,0.17,,2017-12-29 16:21:43.100436
230,2017-12-20,H168,35113,36233,3.14,59,35713,35766,0.15,,2017-12-29 16:21:43.10417
243,2017-12-22,H168,35123,36283,3.25,40,35723,35754,0.09,,2017-12-29 16:21:43.106347
219,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.241198
224,2017-12-21,K115,35236,35815,1.63,46,35541,35553,0.03,,2017-12-29 16:21:43.243671
237,2017-12-22,K115,35240,35816,1.62,46,35541,35552,0.03,,2017-12-29 16:21:43.246157
261,2017-08-23,K115,35236,35816,1.63,47,35540,35552,0.03,,2017-12-29 16:21:43.24866
222,2017-12-21,K121,35362,36029,1.87,33,35715,35735,0.06,,2017-12-29 16:21:43.285787
259,2017-08-23,K121,-1,-1,-0,-1,-1,-1,-0,,2017-12-29 16:21:43.290508
223,2017-12-21,K168,35156,35970,2.29,42,35540,35567,0.08,,2017-12-29 16:21:43.326525
236,2017-12-22,K168,35158,35973,2.29,42,35540,35568,0.08,,2017-12-29 16:21:43.328701
260,2017-08-23,K168,35156,35971,2.29,44,35540,35567,0.08,,2017-12-29 16:21:43.330905
220,2017-12-21,K114,35185,36051,2.43,29,35714,35735,0.06,,2017-12-29 16:21:43.3647
238,2017-12-22,K114,35183,36050,2.43,30,35715,35735,0.06,,2017-12-29 16:21:43.369379
262,2017-08-23,K114,35187,36054,2.43,30,35715,35735,0.06,,2017-12-29 16:21:43.371605
221,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.407999
226,2017-12-21,K171,35227,36132,2.54,43,35714,35738,0.07,,2017-12-29 16:21:43.410421
239,2017-12-22,K171,35224,36131,2.54,43,35713,35736,0.06,,2017-12-29 16:21:43.412654
250,2017-12-22,H171,35422,36085,1.85,24,35716,35748,0.09,,2017-12-29 16:21:43.498911
255,2017-12-22,H173,35463,36040,1.61,15,35732,35740,0.02,,2017-12-29 16:21:43.512317
251,2017-12-22,H175,33975,37085,8.75,66,35733,35781,0.13,,2017-12-29 16:21:43.525688
253,2017-12-22,H177,35279,36250,2.71,37,35748,35774,0.07,,2017-12-29 16:21:43.539961
252,2017-12-22,H176,35447,35998,1.54,29,35742,35763,0.06,,2017-12-29 16:21:43.553556
277,2017-03-21,H128,35274,36133,2.41,130,35720,35743,0.06,,2017-12-29 16:21:43.658139
290,2017-12-22,H128,35293,36140,2.37,130,35721,35743,0.06,,2017-12-29 16:21:43.660315
275,2017-03-21,H129,35512,35913,1.12,30,35687,35742,0.15,,2017-12-29 16:21:43.693099
288,2017-12-22,H129,35507,35916,1.15,43,35687,35744,0.16,,2017-12-29 16:21:43.695282
276,2017-03-21,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.729132
289,2017-12-22,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.731295
291,2017-12-22,H127,35318,36034,2.01,151,35722,35748,0.07,,2017-12-29 16:21:43.768374
274,2017-12-21,K167,34828,36474,4.62,63,35671,35693,0.06,,2017-12-29 16:21:43.796654
287,2017-12-22,K167,34828,36474,4.62,63,35671,35693,0.06,,2017-12-29 16:21:43.799415
272,2017-12-21,K147,35320,35803,1.36,37,35559,35571,0.03,,2017-12-29 16:21:43.832775
285,2017-12-22,K147,35320,35803,1.36,37,35559,35571,0.03,,2017-12-29 16:21:43.83533
270,2017-12-21,K150,35113,36459,3.76,17,35709,35722,0.04,,2017-12-29 16:21:43.897999
283,2017-12-22,K150,35113,36459,3.76,17,35709,35722,0.04,,2017-12-29 16:21:43.900574
271,2017-12-21,K173,34992,36345,3.79,50,35707,35734,0.08,,2017-12-29 16:21:43.929079
284,2017-12-22,K173,34992,36345,3.79,50,35707,35734,0.08,,2017-12-29 16:21:43.931276
279,2017-12-21,K208,35394,35908,1.44,63,35693,35705,0.03,,2017-12-29 16:21:43.955621
280,2017-12-21,K210,35302,36138,2.34,44,35710,35720,0.03,,2017-12-29 16:21:43.984213
293,2017-12-22,K210,35297,36136,2.35,38,35706,35718,0.03,,2017-12-29 16:21:43.987051
281,2017-12-21,K209,35048,36030,2.76,39,35517,35529,0.03,,2017-12-29 16:21:44.017567
273,2017-12-21,K149,35247,36070,2.31,25,35712,35736,0.07,,2017-12-29 16:21:44.052767
286,2017-12-22,K149,35247,36070,2.31,25,35712,35736,0.07,,2017-12-29 16:21:44.055499
268,2017-12-23,H162,44521,45766,2.76,36,44824,45424,1.33,,2017-12-29 16:26:16.920731
269,2017-12-23,H163,45275,46775,3.26,59,45695,46323,1.36,,2017-12-29 16:26:16.949384
362,2017-12-26,K212,35205,36086,2.47,30,35685,35728,0.12,,2017-12-29 16:02:58.060328
363,2017-12-26,K220,35194,36258,2.98,8,35701,35723,0.06,,2017-12-29 16:02:58.074839
364,2017-12-26,K221,35272,36146,2.45,3,35718,35738,0.06,,2017-12-29 16:02:58.091455
336,2017-10-25,K169,34916,36222,3.67,59,35562,35573,0.03,,2017-12-29 16:21:42.616955
367,2017-12-26,K169,34915,36247,3.74,65,35562,35572,0.03,,2017-12-29 16:21:42.619152
312,2017-10-24,K120,35033,35966,2.63,26,35526,35541,0.04,,2017-12-29 16:21:42.645682
334,2017-10-25,K120,35045,35952,2.56,24,35526,35543,0.05,,2017-12-29 16:21:42.648031
365,2017-12-26,K120,35036,35956,2.59,26,35527,35542,0.04,,2017-12-29 16:21:42.650521
335,2017-10-25,K141,35388,36047,1.85,42,35671,35709,0.11,,2017-12-29 16:21:42.67653
366,2017-12-26,K141,35384,36051,1.87,43,35673,35707,0.1,,2017-12-29 16:21:42.6789
358,2017-11-26,K115,35241,35815,1.62,49,35539,35554,0.04,,2017-12-29 16:21:43.251037
356,2017-11-26,K121,35360,36050,1.93,26,35716,35735,0.05,,2017-12-29 16:21:43.292747
357,2017-11-26,K168,35161,35973,2.28,28,35537,35569,0.09,,2017-12-29 16:21:43.33312
360,2017-11-26,K171,35223,36127,2.53,41,35713,35739,0.07,,2017-12-29 16:21:43.417388
328,2017-12-25,H171,35394,36095,1.96,26,35707,35758,0.14,,2017-12-29 16:21:43.501212
333,2017-12-25,H173,35456,36033,1.61,20,35724,35748,0.07,,2017-12-29 16:21:43.514544
329,2017-12-25,H175,33968,37085,8.77,69,35732,35782,0.14,,2017-12-29 16:21:43.5282
331,2017-12-25,H177,35304,36213,2.54,31,35750,35773,0.06,,2017-12-29 16:21:43.542261
330,2017-12-25,H176,35442,35999,1.56,30,35746,35759,0.04,,2017-12-29 16:21:43.555976
303,2017-12-23,H128,35296,36137,2.35,131,35724,35738,0.04,,2017-12-29 16:21:43.662497
322,2017-12-24,H128,35290,36150,2.41,132,35726,35739,0.04,,2017-12-29 16:21:43.664852
301,2017-12-23,H129,35495,35901,1.14,26,35684,35745,0.17,,2017-12-29 16:21:43.697491
320,2017-12-24,H129,35513,35891,1.06,26,35686,35744,0.16,,2017-12-29 16:21:43.699683
302,2017-12-23,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.73353
304,2017-12-23,H127,35296,36035,2.07,151,35723,35747,0.07,,2017-12-29 16:21:43.770577
